_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible
16ca2046-c38b-49fc-965a-03aff38d0691,"November 19, 2022",2022-11-20 05:59:31 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2482751831 19.0283351019),19.0283351,-98.24827518,Efectivo,yes,,0 a 3 cuadras,A pie,2,,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,Banco,yes,no,,0,0,0,10,10,20,Male,Butcher shop,El pollo supremo,1 Photo
76b75f89-32a3-4314-95db-16f4d25f1d16,"November 19, 2022",2022-11-20 05:58:17 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2481796294 19.0282504747),19.02825047,-98.24817963,Efectivo,yes,,más de 10 cuadras,Automóvil,1,,CFE,yes,"Sistema de agua,Tienda de conveniencia (e.g. OXXO)",yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Supermercado,Tienda de conveniencia (e.g. OXXO)",no,no,,1,1,0,35,40,20,Female,Micro-restaurant (aka. fondita),Hijos del maíz,1 Photo
6ea36e7c-38cb-422e-ae52-bf1d8e70f2e2,"November 19, 2022",2022-11-20 05:54:58 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.247951977 19.0280555466),19.02805555,-98.24795198,No realizó compras,yes,,4 a 6 cuadras,Automóvil,4,,CFE,yes,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Banco,no,no,,1,0,0,0,0,54,Male,Cafeteria,Cocina la parroquia ,1 Photo
d7e1159c-58ce-4c04-9aec-40be0a6708a9,"November 19, 2022",2022-11-20 05:14:15 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.294018022 18.958768475),18.95876848,-98.29401802,Efectivo,yes,,4 a 6 cuadras,A pie,1,,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,Banco,yes,no,,2,0,0,25,50,22,Female,Estetica ,Megacolors,1 Photo
b928dce9-4639-46c0-8469-fcd76270997b,"November 19, 2022",2022-11-20 04:53:15 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2939656751 18.9587554151),18.95875542,-98.29396568,Efectivo,yes,,más de 10 cuadras,Automóvil,1,,CFE,no,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),no,no,,2,2,1,20,20,18,Male,Cafeteria,Maw ,1 Photo
0bba15c7-476a-447c-9e92-3a796a44f45e,"November 19, 2022",2022-11-20 04:47:04 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2939883978 18.9587178237),18.95871782,-98.2939884,Efectivo,yes,,4 a 6 cuadras,Motocicleta,4,,CFE,yes,Tienda de conveniencia (e.g. OXXO),yes,Proveedor de gas,no,"Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,"Banco,Tienda de conveniencia (e.g. OXXO)",yes,no,,1,3,2,100,200,25,Male,Grocery store (aka. nanostore),Abarrotes susy ,1 Photo
174dedb7-5bc3-41c3-bf95-8db586fcadd9,"November 16, 2022",2022-11-20 04:10:49 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2468170673 19.0269943735),19.02699437,-98.24681707,Efectivo,yes,,4 a 6 cuadras,Automóvil,3,,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,Proveedor de gas,yes,Supermercado,yes,Banco,no,yes,Servicio a domicilio vigente ,2,0,1,15,15,30,Male,Tintorería ,Lavandería,1 Photo
b72c9555-03ba-4dd0-9599-4fe280856460,"November 16, 2022",2022-11-20 04:04:42 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2466826215 19.0270656891),19.02706569,-98.24668262,Tarjeta de débito y/o crédito,yes,,7 a 10 cuadras,Automóvil,1,,CFE,yes,Tienda de conveniencia (e.g. OXXO),yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,no,,1,4,0,15,80,33,Female,Grocery store (aka. nanostore),Myla ,1 Photo
e4e96475-47a5-4517-ae1e-6f26eafb29e1,"November 16, 2022",2022-11-20 03:57:39 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2465136424 19.0268843889),19.02688439,-98.24651364,Tarjeta de débito y/o crédito,yes,,7 a 10 cuadras,Automóvil,1,,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,,6,4,1,250,100,24,Female,Cafeteria,Wasabi,1 Photo
d66e9895-e7fd-470e-9dfd-efd545c19029,"November 17, 2022",2022-11-19 04:24:46 UTC,Emilio Garza,SRID=4326;POINT(-98.2005161739 19.0424609942),19.04246099,-98.20051617,Efectivo,yes,,4 a 6 cuadras,A pie,5,,"CFE,Tienda de conveniencia (e.g. OXXO)",yes,"Sistema de agua,Tienda de conveniencia (e.g. OXXO)",yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,no,,1,2,0,50,0,25,Male,Cafeteria,Coffee Bike,1 Photo
