,_record_id,_title,_server_updated_at,_created_by,_updated_by,_geometry,_latitude,_longitude,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,number_of_operators,refrigerated_truck,type_of_cargo,picture_of_the_parked_freight_vehicle,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,number_of_available_trolleys,serving_customer,garage_blocking,accident,describe_the_accident,noise,traffic_congestion,maximum_number_of_vehicles_in_the_traffic_jam
0,fa8487b7-f3dc-45b8-898d-8402b7a3f693,"1901 Avenida Rosendo Márquez
Heroica Puebla de Zaragoza Puebla 72180
Mexico",2022-11-19 18:08:19 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2339495 19.0534049),19.0534049,-98.2339495,12:03,S0 30 997,Marinela,Sales (usually small car or motorcycle),Pick-up,1,yes,"Bakery (bread, cookies, cakes, etc.)",1 Photo,12:11,Street - next to the curbside,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
1,1add0a6e-3be7-40c9-bd86-a19094f1ff5b,"Heroica Puebla de Zaragoza Puebla 72180
Mexico",2022-11-19 18:08:19 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2339006 19.0535269),19.0535269,-98.2339006,23:53,SK 92 157,Tutto bocadeli,Delivery,Pick-up,2,yes,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,12:05,Store's garage,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
2,0263ea8e-4585-4232-8547-ea2d8d17a11d,"701-A Calle 29 Sur
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-19 17:37:10 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.220902 19.0523632),19.0523632,-98.220902,11:34,SP 09 736,Carnes premium sa de cv,Delivery,Light truck or Van,2,yes,"Meat (beef, poultry, pork, seafood, etc.)",2 Photos,11:45,Street - next to the curbside,no,no,Rear,0,1.0,yes,no,2.0,no,no,3.0
3,e77530c6-1248-4a46-943b-8e52431d2917,"309 Calle 29 Sur
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-19 17:24:17 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2205203 19.0533108),19.0533108,-98.2205203,11:00,SM 19 713,No disponible ,Delivery,Pick-up,2,yes,"Alcoholic beverages (beer, liquor, etc.)",3 Photos,11:27,Street - next to the curbside,no,no,Rear,1,1.0,no,no,2.0,no,no,3.0
4,c688c1d1-6ec2-44ad-9eda-d5567a571ece,"123 Calle Tlaxco
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-19 17:12:20 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2203338 19.0549013),19.0549013,-98.2203338,11:05,HEA 703C,José Luis Hernández Valdez Fletes,Delivery,SUV,3,no,Muebles,2 Photos,11:20,On top of a sidewalk,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
5,8445c284-9bb4-4c69-bb82-dca18fb686be,"719 Chipilo
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-19 17:01:19 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2205726 19.0515491),19.0515491,-98.2205726,10:54,XA 53 285,No disponible ,Sales & delivery,Pick-up,1,no,"Non-alcoholic beverages (water, soda, etc.)",2 Photos,11:03,Street - next to the curbside,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
6,3f2d5458-be92-4426-bd72-a066fc6b1a02,"1914 Avenida Rosendo Márquez
Heroica Puebla de Zaragoza Puebla 72180
Mexico",2022-11-19 16:30:35 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.234267 19.0527507),19.0527507,-98.234267,10:22,SN 91 675,5,Delivery,SUV,1,no,"Bakery (bread, cookies, cakes, etc.)",1 Photo,10:35,Store's garage,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
7,4e97c5dc-fd90-4ca3-b18b-a7efce18d15c,"3306 Avenida 29 Poniente
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:06 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2295282185 19.0459163426),19.0459163426,-98.2295282185,13:50,Mpw2573,No logo,Delivery,Pick-up,1,no,grocery,1 Photo,14:10,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
8,51049021-632d-431e-8571-2b343c1bac2b,"2701 Calle 31 Sur
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:06 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2272607461 19.0457848198),19.0457848198,-98.2272607461,13:51,Tzr5232,Coca cola,Sales (usually small car or motorcycle),Automobile,1,no,tomar pedido,2 Photos,13:59,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
9,07f654ed-9654-4dbf-bcbb-6d75b632802a,"2969 Avenida 27 Poniente
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:04 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2269284874 19.0456596354),19.0456596354,-98.2269284874,12:48,Tzr5232,Coca cola,Sales (usually small car or motorcycle),Automobile,1,no,"ninguno, solo tomar pedido",2 Photos,13:00,Street - next to the curbside,no,no,Side,0,4.0,no,no,2.0,no,no,3.0
10,a6fc31bd-e552-4b6e-891d-8b945c25bc01,"2515 Calle 29 Sur
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:04 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2254264504 19.0452653831),19.0452653831,-98.2254264504,13:45,A6764a,Regio gas,Delivery,Heavy duty truck,2,no,gas,1 Photo,13:59,Street - next to the curbside,yes,yes,Rear,0,1.0,yes,no,2.0,yes,no,3.0
11,7125667e-6a8c-47de-aac3-8f58f4dd3fd3,"2901 Avenida 27 Poniente
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:03 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2257308811 19.0451332259),19.0451332259,-98.2257308811,14:21,Ju02115,no logo,Delivery,Pick-up,1,no,Produce (fruits & vegetables),3 Photos,14:49,Street - next to the curbside,no,no,Rear,1,1.0,no,no,2.0,no,no,3.0
12,88650dc7-2e47-44d5-ba5f-bcc885d034de,"2851 Avenida 27 Poniente
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:03 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2255736366 19.0450188164),19.0450188164,-98.2255736366,15:29,Yr2673,No logo,Sales (usually small car or motorcycle),Automobile,1,no,"Bakery (bread, cookies, cakes, etc.)",1 Photo,15:45,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,yes,25.0
13,bc8d1ea4-035b-4667-9fc4-05b27cef4721,"2507 Calle 29 Sur
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:03 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2250211015 19.0448191542),19.0448191542,-98.2250211015,15:20,Sp12805,"Los volcanes (entregando cemento a bloquera), bajaron con montacargas",Delivery,Heavy duty truck,2,no,cemento,1 Photo,16:45,Street - next to the curbside,no,yes,Side,1,4.0,no,no,2.0,yes,yes,20.0
